line_id,library,version
spring-framework-5.3.x,antlr:antlr,2.7.7
spring-framework-5.3.x,aopalliance:aopalliance,1.0
spring-framework-5.3.x,ch.qos.logback:logback-classic,1.2.12
spring-framework-5.3.x,ch.qos.logback:logback-core,1.2.12
spring-framework-5.3.x,co.elastic.clients:elasticsearch-java,7.17.15
spring-framework-5.3.x,com.atomikos:atomikos-util,4.0.6
spring-framework-5.3.x,com.atomikos:transactions-api,4.0.6
spring-framework-5.3.x,com.atomikos:transactions-jdbc,4.0.6
spring-framework-5.3.x,com.atomikos:transactions-jms,4.0.6
spring-framework-5.3.x,com.atomikos:transactions-jta,4.0.6
spring-framework-5.3.x,com.atomikos:transactions,4.0.6
spring-framework-5.3.x,com.carrotsearch:hppc,0.8.1
spring-framework-5.3.x,com.couchbase.client:core-io,2.3.4
spring-framework-5.3.x,com.couchbase.client:java-client,3.3.4
spring-framework-5.3.x,com.datastax.oss:java-driver-core,4.14.1
spring-framework-5.3.x,com.datastax.oss:java-driver-query-builder,4.14.1
spring-framework-5.3.x,com.datastax.oss:java-driver-shaded-guava,25.1-jre-graal-sub-1
spring-framework-5.3.x,com.datastax.oss:native-protocol,1.5.1
spring-framework-5.3.x,com.fasterxml:classmate,1.5.1
spring-framework-5.3.x,com.fasterxml.jackson.core:jackson-annotations,2.11.4
spring-framework-5.3.x,com.fasterxml.jackson.core:jackson-annotations,2.12.2
spring-framework-5.3.x,com.fasterxml.jackson.core:jackson-annotations,2.13.0
spring-framework-5.3.x,com.fasterxml.jackson.core:jackson-annotations,2.13.2
spring-framework-5.3.x,com.fasterxml.jackson.core:jackson-annotations,2.13.5
spring-framework-5.3.x,com.fasterxml.jackson.core:jackson-annotations,2.14.2
spring-framework-5.3.x,com.fasterxml.jackson.core:jackson-core,2.11.4
spring-framework-5.3.x,com.fasterxml.jackson.core:jackson-core,2.12.2
spring-framework-5.3.x,com.fasterxml.jackson.core:jackson-core,2.13.0
spring-framework-5.3.x,com.fasterxml.jackson.core:jackson-core,2.13.2
spring-framework-5.3.x,com.fasterxml.jackson.core:jackson-core,2.13.5
spring-framework-5.3.x,com.fasterxml.jackson.core:jackson-core,2.14.2
spring-framework-5.3.x,com.fasterxml.jackson.core:jackson-databind,2.11.4
spring-framework-5.3.x,com.fasterxml.jackson.core:jackson-databind,2.12.2
spring-framework-5.3.x,com.fasterxml.jackson.core:jackson-databind,2.13.0
spring-framework-5.3.x,com.fasterxml.jackson.core:jackson-databind,2.13.2.2
